Italian word,English translation
tradurre,To transfer / To translate
luci,clearance / light
popolo,people
case,houses
grace,grace
dita,finger
vince,to win / to vanquish
infermiera,hospital nurse / nurse / nurse's
altezza,height / altitude / tallness / height / stature / Highness
seduta,chair / seat / session / meeting / sitting
minaccia,threat / menace
età,age / era / period
controlla,to audit / to check / verify / inspect / examine / to control / dominate
nazionale,nationwide / international (player) / national team
genio,genius / the engineers / spirit / genie
caduto,dead / fallen / dead soldier
corri,to hurry / rush / to run / to run [a race or a risk]
cinema,cinema / movie theater / film
t,See under T
passati,footprint / footstep / gauge
tetto,rooftop / roof / rooftops
alcuna,feminine form of alcuno
stella,darling / star / blaze
media,average / mean / media
politica,politics
voci,voice
suono,I play / noises / sound
copertura,cover / covering / roofing
conosciamo,to know [a person or place] / experience / to recognise
vissuto,lived / lived through / gone through
piaci,pleased to meet you / delight / favour / kindness
internet,internet
lettere,letter
occupato,busy / held
sposata,married / wedded
cancro,cancer / Cancer / Cancer
numeri,numbers
diamo,we give
credimi,believe me
compagno,mate / classmate / comrade
merito,merit
società,companies / association / club
quand',apocopic form of quando / apocopic form of quando
nient',apocopic form of niente / apocopic form of niente
spada,épée / spades / sword
vedermi,to see
scendere,fell / drapes / go
pazienti,patient / patient
dirgli,to say / to tell
leggi,you read
cambia,to change / to exchange
facevo,made / (I) did / kept
pete,fart / toot (f. pl.)
sentita,heard / felt
diventata,to become / go / to grow
perfettamente,perfectly / absolutely
ragazzina,young girl / little girl / teenager
bicchiere,glass / goblets
autobus,bus / buses / bus's
dargli,to give
vuoto,vacant / (I) clear out / (I) empty (out)
porte,doors
animale,animal / animal's
azienda,company’s / firm / business's
sabato,on Saturday / Saturday / saturday's
pollo,chicken
spiaggia,beach / (sea)shore / seaside
ordinato,ordered / orderly / straight
rotta,broken / route (f.)
dovesse,should (subj.)
telefonata,(tele)phone call / call / ring
completo,complete / absolute / total / complete / entire / full / whole / 2-piece set
lasciamo,we leave
entri,to enter / to go in
liceo,high school
rosa,pink / romantic / rose
mezza,half (f.)
innamorato,in love / charmed / enamour
doccia,shower
guardato,looked at / watched
stanca,tired (f.)
arrestato,arrested / under arrest / Person under arrest
esce,goes out
date,you (pl.) give / date
venduto,corrupt
gara,event / contest / competition
comincia,to begin / to start / to commence
orologio,watch / clock / wrist watch
eravate,(you) used to be / (you) were being / felt
fan,fans / fans' / fan
erba,grass / herb / marijuana
viso,face
bevi,you drink
metta,to put
fece,did (p.r.)
ascoltate,to listen
distanza,distance / gap / difference
maledetto,damned / damn / cursed / blasted / horrible / awful
chiamarmi,to call
magnifico,generous / gorgeous / superb / magnificent
universo,universe
esame,inspection / checkups / exam
quartiere,skirts / quarter / neighborhood
uccidermi,to kill
andarsene,to go away / leave / to pass away
sposa,it gets married / you embrace / you get married
partito,party; divided into two equal parts vertically / per pale
lascialo,leaves / let
strade,roads
cappello,hat / capping / head
pagina,page / face
mostra,(you) point to / (he/she/it) shows oneself to be / (he/she/it) shows
giardino,yard / garden
intendevo,to hear / to listen / heed / to mean / intend
testimoni,witness / baton
nera,black / a person of black skin / black colour
taglio,cut / slit / slash / incision / break; cutback / cutting
velocemente,quickly / fast / rapidly
potente,powerful / potent / mighty / powerful person
killer,hired assassin
potrà,will as fast as one can / she will be able to / will be able
muore,dies
segni,indication / mark / scratch / sign
paradiso,paradise / heaven / Paradise
rabbia,anger / rabies
fuga,breakaway / break / flight / escape / leak / leakage
biglietti,card / note / banknote / bill / note / slip
s',oneself (elided)
toccare,to hit / involved / involve
termine,end / close / term / term / condition / main point
collega,colleague's / colleague / couples
vittoria,victory / female given name / cognate to English Victoria / Victoria
assurdo,absurd / preposterous / ludicrous / nonsensical / cockeyed / ridiculous / paradoxical
mr,Mr.
giornale,newspaper / sheets / rag
dimmelo,tell it to me
insegnante,schoolmaster / schoolteacher / coach
talento,talent / talented person
spaventato,to frighten / scare / spook
naturale,natural / in brine / natives
vicina,neighbour / near / neighbor
coinvolto,involved or implicated
immagini,image / imago
figo,great / cool
grossa,big / large / heavy / thick
umana,human / humane / compassionate / human being
amiche,friends (f. pl.)
girare,breaks / broken / (to) to spin
seria,serious
corrente,current / valid / ordinary / running
libertà,freedom
rubare,to snatch / burglarize / to burgle
venendo,coming
doppio,double / dual / two / two-faced / double-dealing / double
immagine,image / imago
certe,of course / certain
conoscerti,to know [a person or place] / experience / to recognise
tantissimo,Very much; very many
allarme,alarm / alert
ultime,last (f. pl.)
militare,army / military / serviceman
padrone,employer / boss / host / landlord
prenderlo,to take
arrivano,to come / to be placed / to arrive / to come / to reach
azioni,action / share / security / share
tipi,standard / model / average / stock
sveglio,wake up / smarter / alert
mr.,Mr.
amor,apocopic form of amore
potremo,will be able to
preparato,prepared / ready / keen / preparation
direzione,administrative department / manager's office
gratis,free / gratis
dito,finger / toe
vendetta,revenge / vengeance
cantare,to sing of / to squeal / epic poem
distruggere,To destroy / wipe out or ruin
lasciata,to leave / let
funzionare,work / come / came
invitato,asked / invited / requested
regola,moderation / restraint / menstruation / period
servizi,facility / feature / utility / setting / bathroom / service
zero,zero / 0 / zeros
ruolo,role
cavalli,knight / crotch / fork / horse
c,See under C
mattino,morning
pazzi,crazy / insane / madman
funerale,funeral
dallo,from the (m.)
ospiti,hosting / visiting / host
ministro,pastor / Secretary (of State) / minister
venti,twenty
ottenuto,obtained (p.p. of ottenere)
intende,to hear / to listen / heed / to mean / intend
abbiate,you (pl.) have (subj.)
domenica,on Sunday / Sundays / Sunday
tette,boob / tit / jug
sig.,Mr. (abbreviation of signor)
vorrà,like / (he/she/it/you) will take / liked
spia,spy / sign / indication / symptom / light / gauge / indicator
manda,to drive / to send / forward / dispatch / transmit
rimani,you remain
partner,partner
dritto,straight
presenza,attendance / presence
eta,eta
succedera,to happen / to succeed
son,to be
offerto,offered (p.p. of offrire)
atto,fit or capable / act
apprezzo,to appreciate / to esteem / to value
discutere,debating / talked / discuss
mentire,(to) lie / (to) to tell lies / tell lies
gestire,To gesticulate / To manage / run or administer
chilometri,kilometre / kilometer
migliaia,thousands / hundreds / thousand / about a thousand / about one thousand
sugli,on the
lasciarmi,to leave / let
volevano,they wanted
guardati,look / he looks
domattina,tomorrow morning
lasciatemi,to leave / let
pensavi,thinks
vacanza,vacation / holiday
nemici,enemy / hostile / foe / enemy / foe
medicina,medicine / medical science / medication
speriamo,to hope
sali,to go up / come up / to ride / mount
tira,to pull / draw / kick / bend / die / to throw / shoot / drag / toss / roll
scappato,to escape / to flee / to run away
pur,apocopic form of pure / apocopic form of pure
informazione,info / information / intelligence
sposare,(to) get married / (to) marry off / (to) marry
est,east
accaduto,event / happening
violenza,violence
articolo,article / item / article / goods / article / paragraph / clause
crescere,bring up / (to) to bring up / (to) grow up
suonare,mean / beat / playing
forti,strong (pl.)
caduta,drop / fall
calmo,even / calm / quiet
presi,I took (p.r.)
parlarle,to speak / talk
cugino,cousin / cousin's
fossimo,to be
messaggi,message
famiglie,families
povera,poor (f.)
danni,they give / damage
sentivo,I was hearing
sospetto,suspected / suspicious / suspect / questionable / suspect
guardie,guard / watch / guard duty / sentry duty
gira,to be on the go / ramble / roam / wander / go around
trappola,A trap / a snare / a catch
dirai,you will say
starai,you will be
attenti,attention!
diventando,to become / go / to grow
criminale,criminal / criminal
lady,lady
giacca,blazer / coat / jacket
unita,unit / unity
rossa,female given name
dormito,slept
scomparso,dead / deceased / lost / vanished disappeared
modi,ways
entrate,to enter / to go in
sarete,feel / you will be / you'll be
commesso,clerk / salesclerk
pugno,fist / fistful / handful / punch
opinione,opinion / mind / view / attitude
chiamava,to call
cresciuto,grown-up / grown / developed
mal,apocopic form of male
interesse,interest / interest / concern / affairs / business
laura,female given name
mettiamo,we put
bell',apocopic form of bella / apocopic form of bello
sig,Mr. (abbreviation of signor)
francia,France
ossa,bone / stone / pit
roma,Rome / The letter R in the Italian phonetic alphabet
carico,live / deep / richer
fastidio,trouble / bother / nuisance
premio,reward / premium / bonus
fermato,to close / to stop
sopravvivere,To outlive / To survive
studenti,grader / student
battuta,beat / beating / cue
dappertutto,everywhere / all over the place
dave,I was giving (f. pl.)
tè,tea
profondo,deep / profound / deep / deeply / profoundly / depths
arrivi,gee up
cella,cell
finora,so far / till now / up to now / yet
membro,A member / A member / a limb / The member / the penis
lupo,willow / wolf / willowing-machine
gas,gas
macchine,cars
risposte,answers
lotta,conflict / fight / struggle / wrestling
presento,to introduce / to present
piccole,small (f. pl.)
mostri,monster
moto,motorcycle
percento,percent
vorra,will want
colpi,to affect / to hit / strike
amicizia,friendship / companionship
diritti,plain / knit / right / right / right-hand
pulito,cleaned / cleaned up / washed
protezione,protection
disturbo,disturbance / interference / noise / trouble / bother / inconvenience
avranno,will have / have / they'll
assieme,together; along / together with; along with
dicevo,I was saying
diretto,direct / directed (p.p. of dirigere)
pane,bread
pesante,slow / bad / unwieldy
city,city
aeroporto,airport / terminal
gloria,glory / praise / female given name
scusarmi,to excuse / forgive / pardon / to excuse / justify
creduto,believed
risponde,[~ a] to correspond to / [~ di] to be responsible for
terapia,therapy / treatment
santa,saint (f.) / Santa
dirci,to say / to tell
disastro,disaster / catastrophe
uova,eggs
tirato,to pull / draw / kick / bend / die / to throw / shoot / drag / toss / roll
tenga,to have / to hold / keep / to take
sedere,bottom / butt / seat / buttocks / bum / to sit down / take a seat
veri,true (m. pl.)
preparare,trains / done / puts
versione,translation from ancient languages to a modern one / version
costruire,makes / made / (to) to lay (down)
rete,goal / net / network
potra,will be able
guardo,I look
puzza,stink
ricco,richer / well off / wealthy
ali,Ali
sposati,bride / wife / spouse
gola,gluttony / gorge / passed
fumo,smoke
crisi,crisis / panic / fit
dirmelo,to say / to tell
raggiungere,to attain / gain / achieve / to reach / arrive at / get to / touch
nervoso,edgy / tense / nervous
minimo,least / smallest / slightest / lowest / minimum
persa,lost (f.)
traccia,chase / outline / plan / guideline / trace / hint
inghilterra,England / the United Kingdom
albergo,hotel
tornate,to return
incendio,fire / blaze
falso,studied / worse / doctor
dirglielo,to say / to tell
ucciderlo,to kill
polvere,dust / powder
gioia,joy / delight / female given name / an equivalent of the English Joy
fucile,gun / rifle
maniera,manners / manner / way / style
sessuale,sexual / sex
orecchie,ear
privata,female private person / female private citizen
tentativo,attempt / try / effort / shot / endeavour
weekend,weekend
totale,total / in all / complete
poche,few / not many / little / not much / short / little [time]
sicuri,sure / safe (m.)
sentirmi,to hear / feel
aspettiamo,to wait for / await / wait
svegliati,wake up
parlano,they speak
scherzi,joke / jest / trick / hoax / frolic / scherzo
trucco,makeup / knack / (I) make up
lord,gentleman / lord [British aristocrat]
trovate,to find
t',you (elided)
dovevamo,to have to / must
nascondere,hold / kept / keep
aiutarci,to help / assist
succederà,to happen / to succeed
rendere,hands / return / caught
urla,howl / scream / wail
calda,hot (f.)
aspettato,to wait for / await / wait
dovessi,I/you should (subj.)
ambulanza,field ambulance / ambulance
superiore,superior / better / course of studies following middle school or junior high school and preceeding university
m,See under M
volare,to fly / to go quickly
mancato,abortive / unsuccessful / failed / lost / wasted
perdono,forgiveness / pardon
errori,mistake / error / slip / howler / blunder / goof
proprietario,owner / proprietor
piaccia,pleased to meet you / delight / favour / kindness
raccontato,to tell / to narrate / to recount / to relate
ospite,guest's / (house)guest / guests
dovro,I will have to
dovrò,I'll / I will have to / I will have got to
dillo,say it
poteri,to be able / can
credito,credit
recente,recent / fresh
dovrà,(he/she/it/you) will have (got) to / (he/she/it/you) will have to / (he/she/it/you) will owe
pizza,pizzas / pizza / pizza's
fatemi,you (pl.) do / make
amato,loved
telecamere,television camera
quarto,quarter / watch / quarto
bravi,well done (pl.)
avessero,they had (subj.)
movimento,bustle / clockwork / exercise
regno,kingdom
volevamo,we wanted
stomaco,stomach / (I) turn one’s stomach / (I) disgust
membri,A member / A member / a limb / The member / the penis
licenziato,to dismiss / fire / give the sack / to make redundant
preferirei,to prefer
tirare,hang back / (to) to tighten / stick out
chiedevo,to ask / to request
analisi,calculus / tests / (psycho)analysis
muoversi,reflexive form of muovere / to go / leave / stir
merita,to be worth / to be worthing / to deserve / merit / to earn
volesse,wanted (subj.)
promessa,promise (f.)
capita,to understand
farvi,to do / to make
credete,you (pl.) believe
sissignore,yes indeed / of course / yes sir
dannato,damned / damned soul / The damned
bei,To make someone happy
assicuro,to assure / guarantee / to ensure / provide / to insure / assure
abbandonato,abandoned / deserted / disused
facilmente,easily
scale,ladder / scale / stair
attorno,around
darò,(I) will pay / (I) will put on / (I) will bump
smetterla,to stop or give up an activity
corpi,bodies
sospettato,to suspect somebody / to get suspicious / to mistrust / to suspect
mettendo,to don / put on / draw up / to give / lead onto / to suppose
puo',can
cinese,Chinese
verranno,they'll / they'll come / they will arrive
imbarazzante,embarrassing / awkward
fonte,source or fount / spring / font
mancano,to miss / to be lacking / to be missing / absent
perdendo,to lose
studiare,study / look / to study
divano,sofa / couch
amante,lover
risultato,turned out / proved/proven / issue
accuse,accusation
societa,society / association / club / circle
neppure,not even
bloccato,to blockade / to block / block up / block off / to freeze
avessimo,to have
tornati,returns
scrivania,desk / desk's
complicato,complicated / difficult / elaborate
pavimento,ground / floor / floor's
tolto,removed (p.p. of togliere)
famoso,renowned / famous / well-known
desideri,wish / desire / longing
traffico,activity / rush / trade / traffic
avrete,(you) will have / have / keep
eccoti,here you are
contare,to count on someone / to count / to matter / to count
cia,CIA
prestito,borrowed / borrow
potreste,you (pl.) could
solamente,only / just / but / alone / merely
chissà,maybe / perhaps / who knows?
sorriso,smile
sentiamo,we hear
lavorava,To run or operate / To work / To cultivate
ferite,to wound / to injure / to hurt
proiettile,bullet / projectile
motore,motor / motory / motive / propelling / driving / moving / engine / motor
specialmente,especially / in particular / particularly
posta,pots / pot / mail
darle,to give
lontana,far
file,lines / file / files
ingresso,admission / ticket / cover charge / entrance / hall / entry / entrance
riuscivo,to be able to / to manage to / to be / to prove / to find
respira,to breathe
mettiti,you put
fido,faithful / loyal
nate,born / né
lasciati,leaves / let
piatto,dish / course / even
folle,mad; insane / idle / madman; madwoman
proposta,proposal / proposed (f.)
rapporti,connection / relation / relationship / correlation / ratio / gear
tuttavia,nonetheless / nevertheless / but
cazzate,load of balls / crap / bullshit / shit / rubbish
affascinante,fascinating / seductive / interesting
virus,(computer) virus / viruses
liberta,freedom / liberty
simili,Symi
carter,chain guard / oil sump
prenderla,to take
bugie,candleholder / lie / untruth
prese,took (p.r.)
sterline,pound / sterling
trovarmi,to find
frattempo,meantime
banda,band / gang or group / bend
esplosione,explosion / blast / burst / blow-up / outburst / outbreak
alan,alar / wing / firedog
calcio,soccer
ricerche,investigation / inquiry / survey / research
lago,lake / pool
ascolto,listening / reception
teatro,theater / theatre / venue's
riusciamo,to be able to / to manage to / to be / to prove / to find
ladro,thieving / burglar / thief
spaventata,to frighten / scare / spook (f.)
compagni,alike / like / similar / the same / husband / spouse
facciamolo,we do / we make
tentato,attempted / tempted
sorpreso,caught / surprised
pioggia,rain
debito,due / proper / debt
occhiali,glasses
conoscete,know / knew / you know
taglia,(he/she/it) cuts / (you) cut! / size
pietra,stone
uccello,bird / birds
sito,site / website / situated
maiale,pig / swine / pork
dubito,to doubt / hesitate
parcheggio,parking / car park / I park
serviva,to need / to plate / to serve
camicia,blouse / shirt
comportamento,behaviour / behavior / conduct / ways / actions
comodo,easier / handy / soft
montagna,mountain / pile / mountains
respirare,to breathe
uccisi,killed (p.p. of uccidere)
bianchi,A small town in the Cosenza province of Calabria / Italian surname
seguendo,to follow or pursue
costruito,to build / construct / to plan / frame
formaggio,cheese
sparo,shot / silver bream / the sound of a shot
assunto,assumed / employed / engaged / proposition
uscite,to go out / exit
sapessi,I/you knew (subj.)
facevi,(you) were having / (you) used to run around / (you) used to last
diretta,direct / live (f.)
averne,to have
spazzatura,trash
divorzio,divorce
innamorata,lover / girlfriend / sweetheart
tagliato,Divided into two equal parts diagonally from top right to bottom left / per bend sinister
maggie,bloom; prime / May (f. pl.)
possano,they can (subj.)
fatte,to do / to make
tazza,cup / pan / mug
agenzia,agency / office
volto,face / turned
intervento,intervention / presence / attendance / speech / paper / remark
creda,to believe / think
mucchio,heap / pile / crop
permettere,to allow / to let / to permit / to authorize / to entitle
salto,drop / fall / change / jump / leap / rise / drop / gap
team,teams
rimasti,To rhyme
puntate,to aim / to count on / to head
pensieri,thought / worry
soccorso,help / aid / rescue / succour / assistance / relief / aid
respiro,breathe
giuria,jury / panel of judges
modello,I mold / models / male fashion model
panico,panic / Panic / Pandean / millet
darci,to give
giornali,journal / review / newspaper office / newspaper [publication]
ombra,shady / shadow / shade
piscina,swimming pool / pool
marina,coast / navy / seascape
ricordate,to commemorate / to mention / record / to remember / recall / recollect
portate,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
tavola,table / plate / table
mezz',apocopic form of mezza / apocopic form of mezzo
trovarla,to find
carica,load / charged (f.)
salta,To blow / to fuse / To come off / to snap / to break / To dance
pensione,boarding house / pension
copia,copies
pilota,(he/she/it) flies / (he/she/it) pilots / (you) pilot
sorveglianza,supervision / surveillance
dichiarazione,declaration / announcement / statement / remark / bid / bidding
costretto,to force / to compel / to constrain / to oblige
smetti,to stop or cease
neri,male given name
limite,boundary / border / line / limit / limitation / bounds
portarlo,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
bugia,lie / stories
mettermi,to put
centinaia,hundred / about a hundred / about one hundred / hundreds / dozens
affitto,let / I rent / I rent out
appartiene,to belong to
idioti,idiotic / idiot / moron / clot
evento,event / event's
bugiardo,liar
governatore,governor
riusciti,to be able to / to manage to / to be / to prove / to find
venne,came (p.r.)
sé,oneself
daro,I will give
dono,gift
amanda,female given name
moda,fashion industry / vogue / fashions
petto,breast / chest
custodia,care / case / custody
dovra,will have to
farne,to do / to make
impressione,impression / horror / disgust
strega,witch
coso,contraption / thing / what's-his-name
malata,ill / sick / unwell / affected / sore / diseased (f.)
dimostrare,to prove / to show / to establish / to demonstrate
terreno,earthly / worldly / terrene / terrestrial / ground / field / ground
tradito,to betray / to reveal
neve,snow
veniva,was coming
impegnato,reserved / pawned / engaged
portando,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
interessi,interest / interest / concern / affairs / business
vorrai,like
speciali,curious / singular / particular / peculiar / special
odia,to hate / detest / loathe
portarti,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
ragioni,reasons
gelato,frozen / frosted / ice-cold
perfino,even / just
spara,to shoot / to fire / to shoot / to fire / to discharge / pipe up
lentamente,slowly
metterti,to put
vergogna,embarrassment / shyness / private parts
adorabile,adorable / sweet / lovely
iniziamo,to begin / to join / to incorporate
castello,forecastle / castle / castles
medici,Italian surname of a powerful and influential aristocratic Florentine family from the 13th to 17th centuries
pazienza,patience
organizzato,organized / package
sonno,sleep / slumber
trovati,finds
colleghi,colleague
toccato,touched
malapena,Only used in the adverb a malapena
nota,(you) note down / (you) note / (you) make a note of
tornando,to return / come back
conoscerla,to know [a person or place] / experience / to recognise
maschio,male / masculine / vigorous / virile / manlike / manful / manly
ascoltando,to listen
mostrato,to pretend / to show
festeggiare,let's / (to) to fete / fete
indovinare,to guess / to predict / foretell
liberi,free (m.)
attaccato,attached / glued or tied / close / devoted or dedicated / observant
togliere,unmute / takes / take
risolto,resolved (p.p. of risolvere)
sporco,lousy / dirty / cheap
pari,equal / even / rival
passate,to pass / to stop by / to pass something
sentirti,to hear / feel
voti,mark / grade / vote / ballot / votive offering
passando,to pass / to stop by / to pass something
complimenti,congratulations
miracolo,marvel / wonder / miracle
epoca,epoch / era / age / period / epoch / time / days
vicenda,affair / event / story
divertimento,divertimento / divertissement
meriti,pure / simple
volere,like / (to) wish / (to) mean
troppe,all too / only too / too
anticipo,advance / prepayment / deposit / down payment / early / time ahead
lezioni,lesson / class / lecture
giocando,to gamble / bet / to game / to play
rapina,plunder / robbery / mugging
cercavo,to look for / to try
parlava,was speaking
nazione,country / nation / country's
argomento,argument / topic / matter / subject / issue / point
sbagli,mistake / failure / goof
artista,master / artist
california,California
pillole,contraceptive pill / the pill / pill
facessi,I/you did (subj.)
firmato,to sign
alba,dawn / daybreak / break of day
telecamera,camera / video camera
auguri,best wishes
stupidi,stupid / idiot / fool / moron / clot
fase,line / stroke / phase / stage / period / level / degree / step
abito,item of clothing / suit / (I) live
suicidio,suicide
uguale,equal / same
preoccupa,to worry / to trouble / to bother
meravigliosa,marvellous / wonderful / splendid / glorious
ginocchio,knee / on one’s knees / bend
galera,galley / prison / jail / jug
ride,laughs
alberi,mast / shaft / spindle / tree
veloci,veil
familiare,familiar / confidential / familiar / well-known / family / domestic
interessato,concerned / involved / interested / selfish
feste,parties
troppi,all too / only too / too
positivo,practical / positive / plus
muovetevi,to move
andiamocene,let's go
diamine,An expression of wonder / impatience or irritation
sparire,to disappear / to vanish / to go away / to fade
invito,(I) request / (I) ask / (I) invite
onesto,fair / just / decent / reasonable / frank / straightforward
fuggire,to escape / run away
portami,door / brings
punta,bit / forward / striker / attacker / pile
tenerlo,to have / to hold / keep / to take
università,university / college / colleges
fortunata,lucky / fortunate / male given name (f.)
usciamo,we go out
stara,will be
provarci,to try on / to rehearse / to feel / experience
bosco,forest / woods
patto,pact / agreement
sale,salt / (you) come in / (he/she/it) comes in
ovest,west / western
bestia,beast
presenta,to introduce / to present
socio,member / affiliate / partner / associate / fellow
personalmente,personally
magazzino,department store / stock [of goods] / warehouse / store
b,See under B
commissione,commission / committee / board / commission / fee / charge / commission
coloro,them / they / those people
sullo,on the / on / on to
coach,coach
bastardi,bastard / bastard
vantaggio,asset / benefit / head start
spese,expenditure / to spend
mezzanotte,midnight
contanti,cash / cash / ready cash / money
morale,moral / moral philosophy / morals
avvocati,advocate / defender / intercessor / lawyer / counsel / solicitor / barrister
caspita,for goodness' sake! / good heavens!
fallito,bankrupt / unsuccessful / bankrupt
indossare,wears / wearing / puts
occupo,to employ / find a job / to occupy / take over / squat in
esperto,experienced / expert / skilled / expert / specialist / adept / insider
pensaci,thinks
onda,wave
rendi,To be profitable / To give back / to return / To make
preciso,identical / precise / accurate / faithful / specific / detailed
andrebbe,would go
saltato,To blow / to fuse / To come off / to snap / to break / To dance
fondi,deep / long-distance running / background
firmare,(to) sign / pen / put one’s signature to
totalmente,totally / completely
incubo,nightmare / incubus
babbo,dad / daddy
fattoria,farm / farmhouse
presenti,To have a presentiment of
senatore,senator / member of the Senate
conosciuti,known / well-known / The known
tasca,pouch / pocket
secolo,centuries / century / century's
cima,hawser / line / rope / cable / peak / summit
avendo,having
corridoio,aisle / corridor / passage
bersaglio,target
parlarmi,to speak / talk
vedono,they see
sorelle,sisters
chili,chi / whoever / who / whom
superare,breaks / exceed / outweighs
esistono,to exist / be
eccellente,excellent / exquisite / wonderful
originale,eccentric / odd / bizarre
muoverti,to move
stammi,stay with me
sopportare,to bear / sustain / carry / take / withstand
probabile,probable / likely / prospective
lasciala,leaves / let
credono,they believe
km,km (kilometer abbrev.)
n,See under N
riposo,standing at ease / rest / repose / break / retirement
indovina,fortuneteller / soothsayer
diverte,to amuse / to entertain
esterno,outside / outdoor
stan,they stay (apocopated)
muovere,Moving / move
concerto,performance / concert / gig
yo,yo (interjection)
buttato,to shape / to turn / to beat in
clinica,clinical medicine / clinic / clinician
champagne,champagne
maestà,majesty
episodi,episode
troverai,to find
tecnologia,technique / technology
scappa,to escape / to flee / to run away
firma,signing / (you) autograph / (big) name
americana,American woman
calmi,calm / peaceful / quiet / still
riposare,to rest / to have a rest / to take a rest / to sleep / to stand
furto,plagiarism / theft
vendita,sale / shop
togliti,to take off / to take out
dormi,you sleep
criminali,criminal / criminal
carcere,imprisonment / jail / prison
voto,vow / ballot / (I) vote (through)
rock,rock
tomba,tomb
legame,connection / relationship / tie / link / bond
mostrare,to exhibit / show / to point to
mancanza,want / absence / lack
single,single
materiale,material / physical / bodily / rough / uncouth
facesse,did (subj.)
ln,ln (math abbrev.)
superato,outmoded / overtaken
passeggiata,stroll / walks / walk
impazzire,To go mad
amen,amen; so be it / that's it; end of the story / amen!
lasciarlo,to leave / let
opportunità,broken / broke / expediency
causato,to cause
lasciarti,to leave / let
follia,folly / foolishness / absurdity / fool's errand
attività,activity / activities / asset
dirvi,to say / to tell
messi,harvest / reaping / wheat / corn / crop
trovarti,to find
divertiti,to amuse / to entertain
leader,leader
unità,unit / unity
personali,person
supporto,helper / stand / holder / support
tratti,taken / based / tract / feature / lineament
medicine,Italian surname of a powerful and influential aristocratic Florentine family from the 13th to 17th centuries
giornalista,journalist / journalists
dorme,sleeps
scala,ladder
aiutarvi,to help / assist
opportunita,expediency / advisability / opportunity / timeliness
scienza,science / knowledge
costume,A costume / A custom / habit / A swimsuit
rompere,breaks / (to) burst / (to) crack
pò,a little
scendi,to descend / get off
sembro,to seem; to look ; to appear / to sound / taste or feel
uccide,to kill
rischi,risk / chance / hazard / peril / danger
conseguenze,consequence
passione,bug / fervour / enthusiasm / passion / love / addiction
cercate,to look for / to try
olivia,female given name / cognate to English Olivia or Olive
autista,autistic / driver / chauffeur
d,See under D
essermi,to be
coscienza,awareness / conscience / consciousness
discussione,argument / discussion / quarrel
beccato,to get / pick up / to nab / to peck
profilo,profile
prete,priest
sinceramente,sincerely / honestly
vorremmo,like / want / we would like
elena,female given name / cognate to English Helen
gusto,I enjoy / I savour / I try
compiti,to finish / to complete / to turn
europa,Europa / Europe
esca,bait / lure
tunnel,tunnel
attivita,activeness / energy / activity / operation / assets
cercano,to look for / to try
assicurazione,assurance / insurance
foresta,forest
ucciderti,to kill
permette,to allow / to let / to permit / to authorize / to entitle
mappa,map / chart
palco,box / scaffold / scaffolding / stage
lieto,happy / cheerful / delighted / glad / joyous / joyful
confuso,confused / vague / unclear
manchi,not even
filo,blade / cable / wire / flex / grain
ripeto,to repeat
portarla,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
trattato,treatise / treaty
certi,complexion / wax
gioca,to gamble / bet / to game / to play
figurati,character / figure / illustration
fabbrica,manufacture / manufactures / produce
federale,federal
cieco,blind / blind person
responsabilità,liability / responsibility
messico,Mexico
lancio,throw / drop / shot
titolo,security / epithet / name
motivi,motorcycle / exercise / motion
assegno,allowance / cheque / check / draft
tornerà,to return
tizi,man / someone / guy / fellow / character / chap / dude / Tityos
belli,beautiful (m. pl.)
van,they go (apocopated)
grazia,serif / favour / kindness / grace
dicessi,I/you said (subj.)
conosceva,to know [a person or place] / experience / to recognise
sufficiente,pass / pass mark / self-important / haughty / conceited
farete,(you) will form / hold / (you) will make
calci,at the foot of / lime
egli,he
istante,petitioner / moment / instant
pene,penis
amare,(to) make love / be fond of / go
lasciar,apocopic form of lasciare
sorta,sort / type / kind
sincero,sincere
ammettere,to admit / accept / acknowledge / to bear / tolerate / brook
retta,fee / straight line
veda,see (subj.)
pulire,to clean up / done / wash
uscendo,to come out / to descend / spring / to disappear
tempesta,(he/she/it) batters / (you) storm / (you) batter
chiamiamo,we call
vice,deputy / substitute / vice
rebecca,female given name of biblical origin / Rebekah
trovano,they find
difficili,difficult (pl.)
crediamo,we believe
maschera,cinema attendant [takes tickets / shows patrons to their seats] / mask
visione,sight / view / vision
cominciamo,to begin / to start / to commence
nata,born / né
jo,I / the first person
reazione,reaction
cattivi,bad / wicked / naughty
dormendo,to sleep
eccomi,here I am
regali,gifts
sapesse,knew (subj.)
oggetto,jobs / objects / things
vivono,lifestyle / living / life / to be
esco,I leave / appear / I go out
west,West
sport,hobby / pastime / sport
vederci,to possess the faculty of sight
sfortunatamente,unfortunately / unluckily
contatti,contact
prendono,they take
sezione,dissection / division of classes in groups / division
onestamente,fairly / virtuously / frankly / honestly
segreta,dungeon
ascensore,elevator / lift / elevator's
furono,they were (p.r.)
miglia,millet / mile
rifugio,shelter / refuge
fiero,proud / fierce / proud of
spalla,shoulder / collar / shoulders
rischiare,To risk
